Unnamed: 0,Protein1_ID,class,IAV Segment,IAV Strain
221,P49639,Human,,
222,Q9UMR5,Human,,
223,O60701,Human,,
224,P57682,Human,,
225,Q03933,Human,,
226,Q13351,Human,,
227,Q9UM47,Human,,
228,Q9UMX6,Human,,
229,O14770,Human,,
230,P15692,Human,,
231,Q14576,Human,,
232,P09017,Human,,
233,P14652,Human,,
234,P12104,Human,,
235,P17987,Human,,
236,Q99697,Human,,
237,Q8N1F7,Human,,
238,P54753,Human,,
239,P55318,Human,,
240,Q9BUD6,Human,,
241,Q12948,Human,,
242,Q14995,Human,,
243,Q9H2C1,Human,,
244,Q0VG99,Human,,
245,Q9BRJ9,Human,,
246,O43323,Human,,
247,P56178,Human,,
248,Q93098,Human,,
249,P56915,Human,,
250,P28358,Human,,
251,P05019,Human,,
252,Q96A32,Human,,
253,Q06418,Human,,
254,Q96NK8,Human,,
255,P29475,Human,,
256,P31271,Human,,
257,Q5JT82,Human,,
258,Q96NZ1,Human,,
259,Q9Y5B8,Human,,
260,P53778,Human,,
261,O95863,Human,,
262,P56705,Human,,
263,Q00056,Human,,
264,Q05925,Human,,
265,Q9BWD1,Human,,
266,P15976,Human,,
267,P02647,Human,,
268,O95715,Human,,
269,Q00535,Human,,
270,P28074,Human,,
271,P45378,Human,,
272,P26358,Human,,
273,P10721,Human,,
274,P00751,Human,,
275,P09529,Human,,
276,P09067,Human,,
277,P43026,Human,,
278,O95639,Human,,
279,Q9Y4X3,Human,,
280,P40763,Human,,
281,Q9UBR4,Human,,
282,Q9UMR3,Human,,
283,Q02763,Human,,
284,P60880,Human,,
285,Q16526,Human,,
286,Q13740,Human,,
287,Q9UER7,Human,,
288,Q96QS3,Human,,
289,Q9BZB8,Human,,
290,Q92886,Human,,
291,P35548,Human,,
292,P26367,Human,,
293,O15523,Human,,
294,P55265,Human,,
295,P30613,Human,,
296,P63215,Human,,
297,Q07817,Human,,
298,P05023,Human,,
299,O75508,Human,,
300,P30793,Human,,
301,P03901,Human,,
302,Q13936,Human,,
303,Q9BXU8,Human,,
