Unnamed: 0,Protein1_ID,class,IAV Segment,IAV Strain
2843,Q659A1,Human,,
2844,P35398,Human,,
2845,Q9NPI8,Human,,
2846,Q96PD4,Human,,
2847,Q16552,Human,,
2848,O43166,Human,,
2849,Q96A65,Human,,
2850,Q9UJ68,Human,,
2851,Q9NP73,Human,,
2852,Q6UVY6,Human,,
2853,Q86VW1,Human,,
2854,Q8N8S7,Human,,
2855,Q7L0Q8,Human,,
2856,Q9HBH0,Human,,
2857,O00212,Human,,
2858,Q15842,Human,,
2859,Q9Y3R0,Human,,
2860,Q96KQ4,Human,,
2861,O60706,Human,,
2862,Q92738,Human,,
2863,P11717,Human,,
2864,Q14654,Human,,
2865,P08134,Human,,
2866,P31645,Human,,
2867,Q3B7I2,Human,,
2868,Q9Y2B0,Human,,
2869,Q8N129,Human,,
2870,Q9BT09,Human,,
2871,Q99439,Human,,
2872,Q8N1S5,Human,,
2873,Q6KB66,Human,,
2874,O43790,Human,,
2875,Q9NSB4,Human,,
2876,Q9NSB2,Human,,
2877,Q92764,Human,,
2878,Q6A162,Human,,
2879,Q7Z3Z0,Human,,
2880,Q7Z3Y9,Human,,
2881,P35900,Human,,
2882,Q7Z3Y7,Human,,
2883,P35527,Human,,
2884,O76013,Human,,
2885,Q7Z3Y8,Human,,
2886,Q14532,Human,,
2887,O95861,Human,,
2888,Q11203,Human,,
2889,Q11206,Human,,
2890,Q9NYZ2,Human,,
2891,O60381,Human,,
2892,Q16842,Human,,
2893,Q11201,Human,,
2894,Q9UNP4,Human,,
2895,P15907,Human,,
2896,Q8N6I4,Human,,
2897,Q14155,Human,,
2898,Q96JF0,Human,,
2899,O00570,Human,,
2900,Q9UJ37,Human,,
2901,Q9H4F1,Human,,
2902,Q969X2,Human,,
2903,O15466,Human,,
2904,P61647,Human,,
2905,Q8IZT6,Human,,
2906,Q14008,Human,,
2907,Q9Y274,Human,,
2908,Q92187,Human,,
2909,Q86XP3,Human,,
2910,Q9UI10,Human,,
2911,Q8TBF4,Human,,
2912,Q8IX29,Human,,
2913,P36915,Human,,
2914,Q08345,Human,,
2915,Q9Y242,Human,,
2916,P41221,Human,,
2917,Q5RL73,Human,,
2918,O43463,Human,,
2919,Q8TEH3,Human,,
2920,Q8HWS3,Human,,
2921,Q9Y697,Human,,
2922,P36551,Human,,
2923,Q16799,Human,,
2924,O95197,Human,,
2925,O75298,Human,,
2926,Q12974,Human,,
2927,Q8NAT1,Human,,
2928,Q9NQC3,Human,,
2929,P40238,Human,,
2930,P01213,Human,,
2931,Q9NQW1,Human,,
2932,Q9HBU1,Human,,
2933,P34896,Human,,
2934,Q9UPP1,Human,,
2935,P15882,Human,,
2936,Q9Y6R0,Human,,
2937,P49757,Human,,
2938,O75928,Human,,
2939,O43818,Human,,
2940,O43320,Human,,
2941,Q9H974,Human,,
2942,Q01974,Human,,
2943,Q16667,Human,,
2944,Q9HCT0,Human,,
2945,Q96NU1,Human,,
2946,P28340,Human,,
2947,Q14978,Human,,
2948,Q9H553,Human,,
2949,P27986,Human,,
2950,O14827,Human,,
2951,Q92915,Human,,
2952,O15360,Human,,
2953,O15287,Human,,
2954,Q14315,Human,,
2955,P51587,Human,,
2956,Q5TBA9,Human,,
2957,Q8NB91,Human,,
2958,Q9NW38,Human,,
2959,Q00597,Human,,
2960,Q9NVX0,Human,,
2961,Q8TDN6,Human,,
2962,O75600,Human,,
2963,Q9HBU9,Human,,
2964,Q5T5Y3,Human,,
2965,Q9NVE5,Human,,
2966,Q9BV94,Human,,
2967,Q9UJM8,Human,,
2968,Q9H307,Human,,
2969,Q8NB12,Human,,
2970,Q06546,Human,,
2971,Q86UK7,Human,,
2972,P63000,Human,,
2973,Q9HCJ5,Human,,
2974,Q9NVS9,Human,,
2975,P35442,Human,,
2976,P49747,Human,,
2977,Q92959,Human,,
2978,Q96BD0,Human,,
2979,P55786,Human,,
2980,O43295,Human,,
2981,O75553,Human,,
2982,P48307,Human,,
2983,Q9Y6N8,Human,,
2984,Q9ULB4,Human,,
2985,P11166,Human,,
2986,Q6ZMH5,Human,,
2987,Q6XR72,Human,,
2988,P48539,Human,,
2989,Q5IJ48,Human,,
2990,Q9BUF7,Human,,
2991,P82279,Human,,
2992,P10827,Human,,
2993,P08579,Human,,
2994,P25787,Human,,
2995,Q6GQQ9,Human,,
2996,Q96PZ0,Human,,
2997,Q8N5I4,Human,,
2998,Q9HCM9,Human,,
2999,Q9Y577,Human,,
3000,Q8NG06,Human,,
3001,P14373,Human,,
3002,Q6AZZ1,Human,,
3003,P19474,Human,,
3004,Q01638,Human,,
3005,Q12955,Human,,
3006,O95977,Human,,
3007,Q9Y2R4,Human,,
3008,Q9NSA1,Human,,
3009,Q15542,Human,,
3010,Q13098,Human,,
3011,O95502,Human,,
3012,Q92547,Human,,
3013,P23588,Human,,
3014,Q96A73,Human,,
3015,O60568,Human,,
3016,Q9H334,Human,,
3017,Q86YS3,Human,,
3018,Q8N807,Human,,
3019,P47972,Human,,
3020,Q8WXF1,Human,,
3021,Q9BX79,Human,,
3022,Q86TI0,Human,,
3023,Q8WUU4,Human,,
3024,P98095,Human,,
3025,Q9UBM4,Human,,
3026,Q99645,Human,,
3027,Q75QN2,Human,,
3028,Q5FWF4,Human,,
3029,P42568,Human,,
3030,O14556,Human,,
3031,P28838,Human,,
3032,Q8NHH9,Human,,
3033,A0FGR9,Human,,
3034,O95237,Human,,
3035,P16144,Human,,
3036,P07148,Human,,
3037,O60784,Human,,
3038,Q9NVZ3,Human,,
3039,P29459,Human,,
3040,P17252,Human,,
3041,O14908,Human,,
3042,Q14690,Human,,
3043,Q9BY78,Human,,
3044,Q9BQ24,Human,,
3045,Q8NCB2,Human,,
3046,P59768,Human,,
3047,Q8N157,Human,,
3048,P05556,Human,,
3049,P13497,Human,,
3050,O43865,Human,,
3051,P37058,Human,,
3052,P35498,Human,,
3053,P50440,Human,,
3054,P15169,Human,,
3055,O00522,Human,,
3056,P08697,Human,,
3057,Q14739,Human,,
3058,P02760,Human,,
3059,P02748,Human,,
3060,P01042,Human,,
3061,P02655,Human,,
3062,P02654,Human,,
3063,Q99784,Human,,
3064,P24298,Human,,
3065,O60356,Human,,
3066,Q9BPW9,Human,,
3067,P46777,Human,,
3068,Q9BTW9,Human,,
3069,Q6P5S2,Human,,
3070,P09958,Human,,
3071,P02679,Human,,
3072,Q5T1V6,Human,,
3073,O60870,Human,,
3074,P27544,Human,,
3075,Q9NUQ3,Human,,
3076,Q96LC7,Human,,
3077,P20138,Human,,
3078,Q6ZN04,Human,,
3079,Q9Y666,Human,,
3080,P13611,Human,,
3081,Q01826,Human,,
3082,O75628,Human,,
3083,Q8NFP9,Human,,
3084,Q8IVP5,Human,,
3085,Q6UX01,Human,,
3086,Q92597,Human,,
3087,Q96SI9,Human,,
3088,Q3KQU3,Human,,
3089,P12524,Human,,
3090,Q9Y2J2,Human,,
3091,P61981,Human,,
3092,Q9H0Q0,Human,,
3093,Q92781,Human,,
3094,P55001,Human,,
3095,Q8NBP7,Human,,
3096,P11150,Human,,
3097,Q96F10,Human,,
3098,Q9Y234,Human,,
3099,Q9UBP0,Human,,
3100,Q04656,Human,,
3101,P61328,Human,,
3102,P20749,Human,,
3103,P50579,Human,,
3104,Q11130,Human,,
3105,Q01814,Human,,
3106,Q93008,Human,,
3107,P25445,Human,,
3108,Q9ULB5,Human,,
3109,A0PJY2,Human,,
3110,Q96IW2,Human,,
3111,Q96CN7,Human,,
3112,Q01101,Human,,
3113,P22307,Human,,
3114,Q14624,Human,,
3115,P05155,Human,,
3116,Q9GZU5,Human,,
3117,Q9P0M4,Human,,
3118,Q96NH3,Human,,
3119,Q9C0B1,Human,,
3120,Q9NQC7,Human,,
3121,Q969G9,Human,,
3122,Q9HC29,Human,,
3123,B0FP48,Human,,
3124,Q08462,Human,,
3125,Q08999,Human,,
3126,P31431,Human,,
3127,P42261,Human,,
3128,P48058,Human,,
3129,O00358,Human,,
3130,Q9BZS1,Human,,
3131,Q495N2,Human,,
3132,Q7Z2H8,Human,,
3133,Q495M3,Human,,
3134,Q9Y6R1,Human,,
3135,Q8TEV9,Human,,
3136,P26232,Human,,
3137,Q9P2R6,Human,,
3138,Q96N67,Human,,
3139,Q8N4C8,Human,,
3140,P07357,Human,,
3141,Q9NQ94,Human,,
3142,O76074,Human,,
3143,P04070,Human,,
3144,P43003,Human,,
3145,Q96D15,Human,,
3146,P49407,Human,,
3147,Q8IZ81,Human,,
3148,Q9Y6G9,Human,,
3149,P30047,Human,,
3150,P02790,Human,,
3151,Q9UBY8,Human,,
3152,Q9NY46,Human,,
3153,Q99250,Human,,
3154,Q15858,Human,,
3155,O75503,Human,,
3156,Q14524,Human,,
3157,Q9Y5Y9,Human,,
3158,Q96L08,Human,,
3159,Q8IYB5,Human,,
3160,Q15059,Human,,
3161,P00734,Human,,
3162,Q07973,Human,,
3163,P30532,Human,,
3164,Q00266,Human,,
3165,Q8N3Y7,Human,,
3166,Q6ZVM7,Human,,
3167,Q9H598,Human,,
3168,Q8N3Y3,Human,,
3169,O95461,Human,,
3170,Q92753,Human,,
3171,P40939,Human,,
3172,Q8N695,Human,,
3173,Q8TAY7,Human,,
3174,Q4KMG0,Human,,
3175,Q5VSG8,Human,,
3176,Q9UJD0,Human,,
3177,P55290,Human,,
3178,Q9UMN6,Human,,
3179,Q9Y334,Human,,
3180,Q9NS93,Human,,
3181,Q86XJ1,Human,,
3182,Q96L42,Human,,
3183,Q6P3S1,Human,,
3184,Q5VXU1,Human,,
3185,O76095,Human,,
3186,Q2T9L4,Human,,
3187,Q9BXM0,Human,,
3188,Q8IV08,Human,,
3189,Q96L92,Human,,
3190,Q7Z4K8,Human,,
3191,Q5T1Q4,Human,,
3192,P26678,Human,,
3193,Q96EG1,Human,,
3194,O00295,Human,,
3195,Q9NRW1,Human,,
3196,P47895,Human,,
3197,Q8IUX8,Human,,
3198,Q86X40,Human,,
3199,Q9UHV9,Human,,
3200,O75155,Human,,
3201,Q96M69,Human,,
3202,Q9P2G1,Human,,
3203,A6NHZ5,Human,,
3204,Q99435,Human,,
3205,P27658,Human,,
3206,Q12792,Human,,
3207,Q9H0K6,Human,,
3208,P48048,Human,,
3209,Q8N5M9,Human,,
3210,Q8NB66,Human,,
3211,Q08397,Human,,
3212,Q96K78,Human,,
3213,Q9BXJ3,Human,,
3214,Q6ZMZ0,Human,,
3215,P62955,Human,,
3216,Q96B01,Human,,
3217,P30279,Human,,
3218,Q6PJ61,Human,,
3219,Q8IYJ3,Human,,
3220,Q8NAU1,Human,,
3221,Q96EU6,Human,,
3222,Q6JBY9,Human,,
3223,O60551,Human,,
3224,Q9P212,Human,,
3225,P53667,Human,,
3226,O94759,Human,,
3227,P51787,Human,,
3228,Q13461,Human,,
3229,P28906,Human,,
3230,Q8TD43,Human,,
3231,Q9BUL9,Human,,
3232,Q9HBI1,Human,,
3233,O75112,Human,,
3234,P01588,Human,,
3235,Q96DN5,Human,,
3236,Q92833,Human,,
3237,P54253,Human,,
3238,Q9ULM0,Human,,
3239,Q15120,Human,,
3240,Q9Y5K3,Human,,
3241,Q9UBB6,Human,,
3242,Q9H3W5,Human,,
3243,Q9UDR5,Human,,
3244,Q2M3T9,Human,,
3245,Q96NR3,Human,,
3246,Q9UGK8,Human,,
3247,P17010,Human,,
3248,Q6ZXV5,Human,,
3249,Q9UPM8,Human,,
3250,Q9NQV5,Human,,
3251,Q92911,Human,,
3252,P10092,Human,,
3253,Q15750,Human,,
3254,Q9UIA9,Human,,
3255,O43286,Human,,
3256,Q9BQF6,Human,,
3257,Q6ZMJ4,Human,,
3258,Q12857,Human,,
3259,P24468,Human,,
3260,O95886,Human,,
3261,Q9NX38,Human,,
3262,Q9UBT7,Human,,
3263,P09471,Human,,
3264,O14594,Human,,
3265,Q9UGM5,Human,,
3266,Q8NDX2,Human,,
3267,Q496H8,Human,,
3268,Q96EV8,Human,,
3269,Q96JG6,Human,,
3270,O94953,Human,,
3271,A8MVW5,Human,,
3272,Q9Y4L5,Human,,
3273,Q9NR48,Human,,
3274,Q8N4P6,Human,,
3275,P49760,Human,,
3276,O60547,Human,,
3277,Q6UX72,Human,,
3278,Q9BSU1,Human,,
3279,Q9H422,Human,,
3280,Q9UPZ6,Human,,
3281,Q10586,Human,,
3282,P0CJ78,Human,,
3283,Q86UW8,Human,,
3284,Q9BZW5,Human,,
3285,Q9BZW4,Human,,
3286,Q9NNX1,Human,,
3287,Q14157,Human,,
3288,Q68CJ6,Human,,
3289,P21462,Human,,
3290,Q15853,Human,,
3291,O15552,Human,,
3292,O14843,Human,,
3293,Q96RK1,Human,,
3294,Q9Y4F9,Human,,
3295,Q9NPJ3,Human,,
3296,Q6YI46,Human,,
3297,O00411,Human,,
3298,P23946,Human,,
3299,P12544,Human,,
3300,Q8NCT3,Human,,
3301,Q9Y3Y2,Human,,
3302,O95295,Human,,
3303,Q2M3C7,Human,,
3304,Q8IU81,Human,,
3305,Q9BZV2,Human,,
3306,Q96GS4,Human,,
3307,Q12893,Human,,
3308,Q96C19,Human,,
3309,Q12962,Human,,
3310,Q99584,Human,,
3311,Q9HCY8,Human,,
3312,Q9H3S1,Human,,
3313,Q5XKP0,Human,,
3314,Q9HAT2,Human,,
3315,Q8N2M8,Human,,
3316,Q6ZSI9,Human,,
3317,Q96K12,Human,,
3318,Q8WU20,Human,,
3319,A1XBS5,Human,,
3320,Q8N1G4,Human,,
3321,Q02880,Human,,
3322,Q9UPR5,Human,,
3323,O95573,Human,,
3324,Q8WWG9,Human,,
3325,P09001,Human,,
3326,Q9H3S7,Human,,
3327,O95196,Human,,
3328,Q9UIG8,Human,,
3329,O60331,Human,,
3330,Q9NQW6,Human,,
3331,P25067,Human,,
3332,O43861,Human,,
3333,Q99983,Human,,
3334,O95644,Human,,
3335,Q92831,Human,,
3336,Q9Y561,Human,,
3337,P04275,Human,,
3338,Q8IZP7,Human,,
3339,P07197,Human,,
3340,Q9C0J9,Human,,
3341,P50549,Human,,
3342,P31152,Human,,
3343,P58004,Human,,
3344,Q16659,Human,,
3345,O14647,Human,,
3346,P46089,Human,,
3347,Q92952,Human,,
3348,Q8N8A8,Human,,
3349,Q96LB8,Human,,
3350,Q96LB9,Human,,
3351,O75594,Human,,
3352,P36954,Human,,
3353,Q9NWQ8,Human,,
3354,Q86VP1,Human,,
3355,Q86VZ6,Human,,
3356,Q04725,Human,,
3357,P30679,Human,,
3358,P29992,Human,,
3359,Q92610,Human,,
3360,Q8IUL8,Human,,
3361,Q6UWM7,Human,,
3362,Q86WA8,Human,,
3363,O75113,Human,,
3364,Q96DX4,Human,,
3365,Q86TM6,Human,,
3366,P98179,Human,,
3367,Q14011,Human,,
3368,Q9Y251,Human,,
3369,Q8TDG4,Human,,
3370,Q9Y3D5,Human,,
3371,Q6UWZ7,Human,,
3372,Q5T0L3,Human,,
3373,Q8IXK2,Human,,
3374,Q8N4A0,Human,,
3375,Q9BYM8,Human,,
3376,P78537,Human,,
3377,Q9UI32,Human,,
3378,Q96HA8,Human,,
3379,Q96PB1,Human,,
3380,Q8IZD2,Human,,
3381,Q8WXK3,Human,,
3382,Q6P6B7,Human,,
3383,O75787,Human,,
3384,Q16787,Human,,
3385,P35790,Human,,
3386,Q9NXS2,Human,,
3387,O60292,Human,,
3388,Q96A09,Human,,
3389,P14317,Human,,
3390,Q96SY0,Human,,
3391,Q99742,Human,,
3392,Q6X4U4,Human,,
3393,Q8IV38,Human,,
3394,Q9H7C4,Human,,
3395,Q3ZCN5,Human,,
3396,Q8N434,Human,,
3397,Q9HCM3,Human,,
3398,Q9H0J9,Human,,
3399,Q9P035,Human,,
3400,Q13625,Human,,
3401,Q9BX10,Human,,
3402,Q9HCE1,Human,,
3403,P08575,Human,,
3404,P55017,Human,,
3405,Q6P161,Human,,
3406,Q13506,Human,,
3407,Q9BRC7,Human,,
3408,Q7Z7A4,Human,,
3409,P11177,Human,,
3410,Q8NC69,Human,,
3411,Q8IV32,Human,,
3412,Q9NY15,Human,,
3413,O94880,Human,,
3414,B0I1T2,Human,,
3415,Q8N4L2,Human,,
3416,O60241,Human,,
3417,Q96JM4,Human,,
3418,Q9H2J7,Human,,
3419,Q8IYJ0,Human,,
3420,Q9H4I3,Human,,
3421,Q765P7,Human,,
3422,Q8NEY3,Human,,
3423,Q8N6N2,Human,,
3424,Q8N9M1,Human,,
3425,P53539,Human,,
3426,Q9BVG8,Human,,
3427,A6QL63,Human,,
3428,Q5VZL5,Human,,
3429,Q9P206,Human,,
3430,Q9H3H1,Human,,
3431,Q9NQT4,Human,,
3432,Q6ZNR0,Human,,
3433,Q9Y6T7,Human,,
3434,P01127,Human,,
3435,Q8N475,Human,,
3436,Q6MZW2,Human,,
3437,O14960,Human,,
3438,O60928,Human,,
3439,Q15813,Human,,
3440,P51843,Human,,
3441,Q9H9Z2,Human,,
3442,O14792,Human,,
3443,Q9Y662,Human,,
3444,Q9Y278,Human,,
3445,Q12791,Human,,
3446,Q99814,Human,,
3447,Q02487,Human,,
3448,Q14574,Human,,
3449,Q08554,Human,,
3450,Q9BU23,Human,,
3451,O75081,Human,,
3452,Q9NXU5,Human,,
3453,Q96EP5,Human,,
3454,P10253,Human,,
3455,Q5VTL7,Human,,
3456,O94967,Human,,
3457,Q76N89,Human,,
3458,Q13111,Human,,
3459,Q9BZV1,Human,,
3460,O14617,Human,,
3461,P04632,Human,,
3462,P51513,Human,,
3463,P21675,Human,,
3464,Q96RK0,Human,,
3465,P50548,Human,,
3466,Q68CJ9,Human,,
3467,Q9P1Y5,Human,,
3468,Q9HCS7,Human,,
3469,Q03518,Human,,
3470,Q13586,Human,,
3471,Q68CR1,Human,,
3472,Q5TCZ1,Human,,
3473,Q9UH65,Human,,
3474,Q01432,Human,,
3475,P05111,Human,,
3476,Q05586,Human,,
3477,Q96EL1,Human,,
3478,P31946,Human,,
3479,A0A1W2PR19,Human,,
3480,Q9Y4L1,Human,,
3481,O00141,Human,,
3482,P41250,Human,,
3483,Q9NWS0,Human,,
3484,Q13541,Human,,
3485,Q8IYK4,Human,,
3486,Q9NW68,Human,,
3487,Q01844,Human,,
3488,Q9UBQ7,Human,,
3489,P80365,Human,,
3490,P37837,Human,,
3491,P22314,Human,,
3492,P38646,Human,,
3493,O75715,Human,,
3494,Q9Y5Q8,Human,,
3495,P61457,Human,,
3496,Q16822,Human,,
3497,Q86XZ4,Human,,
3498,Q9NUQ6,Human,,
3499,P31512,Human,,
3500,Q96MM6,Human,,
3501,P0CG13,Human,,
3502,P51649,Human,,
3503,Q13474,Human,,
3504,Q66PJ3,Human,,
3505,P25106,Human,,
3506,P99999,Human,,
3507,Q32MZ4,Human,,
3508,Q86VM9,Human,,
3509,Q9NPB9,Human,,
3510,P51686,Human,,
3511,P46094,Human,,
3512,P12931,Human,,
3513,P10523,Human,,
3514,Q7Z713,Human,,
3515,Q96JY6,Human,,
3516,O94875,Human,,
3517,P50479,Human,,
3518,P62873,Human,,
3519,Q9NRX5,Human,,
3520,O15539,Human,,
3521,P63211,Human,,
3522,P61952,Human,,
3523,P30050,Human,,
3524,Q02878,Human,,
3525,P55010,Human,,
3526,Q9HBA0,Human,,
3527,P53672,Human,,
3528,P05813,Human,,
3529,Q9Y466,Human,,
3530,Q9Y5X4,Human,,
3531,P53673,Human,,
3532,P30301,Human,,
3533,P62424,Human,,
3534,P36578,Human,,
3535,Q9H3Y8,Human,,
3536,P55209,Human,,
3537,Q86VI4,Human,,
3538,Q9NP86,Human,,
3539,Q16878,Human,,
3540,Q13956,Human,,
3541,Q03395,Human,,
3542,P51160,Human,,
3543,P17174,Human,,
3544,P16520,Human,,
3545,P15880,Human,,
3546,P62913,Human,,
3547,A4D1Z8,Human,,
3548,P61601,Human,,
3549,Q13515,Human,,
3550,P16949,Human,,
3551,O95190,Human,,
3552,P19793,Human,,
3553,Q8TAL6,Human,,
3554,Q7LGA3,Human,,
3555,Q13555,Human,,
3556,O00469,Human,,
3557,Q02809,Human,,
3558,Q8WY54,Human,,
3559,P05387,Human,,
3560,A6NNA5,Human,,
3561,Q7Z6J2,Human,,
3562,Q7Z333,Human,,
3563,Q96Q42,Human,,
3564,Q96BD5,Human,,
3565,O95259,Human,,
3566,O14503,Human,,
3567,Q76FK4,Human,,
3568,Q8TC41,Human,,
3569,Q16890,Human,,
3570,Q7Z4H3,Human,,
3571,A6XGL0,Human,,
3572,A5PLL7,Human,,
3573,Q32MH5,Human,,
3574,Q7Z3E1,Human,,
3575,Q5SWA1,Human,,
3576,Q99592,Human,,
3577,Q9NRJ4,Human,,
3578,O75899,Human,,
3579,Q7Z410,Human,,
3580,Q86YV6,Human,,
3581,O00443,Human,,
3582,A6NL88,Human,,
3583,Q9BWC9,Human,,
3584,C9JI98,Human,,
3585,Q00534,Human,,
3586,P21926,Human,,
3587,Q9NQ90,Human,,
3588,Q92692,Human,,
3589,Q8WXS5,Human,,
3590,Q9BXT2,Human,,
3591,A6BM72,Human,,
3592,Q6NYC8,Human,,
3593,Q8IXM6,Human,,
3594,Q9BSE2,Human,,
3595,Q2V2M9,Human,,
3596,P62888,Human,,
3597,O43541,Human,,
3598,Q9UL51,Human,,
3599,Q8N350,Human,,
3600,O43511,Human,,
3601,Q08AD1,Human,,
3602,Q92466,Human,,
3603,Q92618,Human,,
3604,Q96A23,Human,,
3605,Q9NZ43,Human,,
3606,Q92922,Human,,
3607,Q9UBB4,Human,,
3608,O60308,Human,,
3609,Q9UPQ4,Human,,
3610,Q15906,Human,,
3611,O43768,Human,,
3612,Q9H4A5,Human,,
3613,Q6UY18,Human,,
3614,Q96PV0,Human,,
3615,O60240,Human,,
3616,Q8WXI9,Human,,
3617,Q86TE4,Human,,
3618,Q8IYL3,Human,,
3619,Q9NQV6,Human,,
3620,Q8NAA4,Human,,
3621,O43379,Human,,
3622,Q8TCY5,Human,,
3623,Q0D2I5,Human,,
3624,Q9NZR2,Human,,
3625,P09564,Human,,
3626,Q96RD6,Human,,
3627,Q8IZA0,Human,,
3628,A6NK97,Human,,
3629,Q8TCC7,Human,,
3630,P24557,Human,,
3631,Q16647,Human,,
3632,Q9Y4J8,Human,,
3633,P04054,Human,,
3634,P55957,Human,,
3635,P14780,Human,,
3636,Q8IUH3,Human,,
3637,Q9HCU4,Human,,
3638,Q9NYQ7,Human,,
3639,Q969S3,Human,,
3640,P0C0S5,Human,,
3641,Q3ZCQ3,Human,,
3642,Q9Y259,Human,,
3643,Q5TID7,Human,,
3644,Q96SA4,Human,,
3645,Q8N9I0,Human,,
3646,Q7Z407,Human,,
3647,Q96CG8,Human,,
3648,Q9BXK5,Human,,
3649,P0C1S8,Human,,
3650,A4D1U4,Human,,
3651,Q9HBD1,Human,,
3652,Q06278,Human,,
3653,Q7RTU7,Human,,
3654,Q9GZU8,Human,,
3655,Q9ULV0,Human,,
3656,Q96M91,Human,,
3657,O14757,Human,,
3658,Q8IY22,Human,,
3659,P16885,Human,,
3660,Q6P9B6,Human,,
3661,Q5C9Z4,Human,,
3662,A2CJ06,Human,,
3663,Q9Y574,Human,,
3664,Q6UXY1,Human,,
3665,Q92845,Human,,
3666,Q6NUT3,Human,,
3667,Q6ISB3,Human,,
3668,Q9H1C3,Human,,
3669,Q8NFZ0,Human,,
3670,Q16654,Human,,
3671,Q7Z4H4,Human,,
3672,Q96HR8,Human,,
3673,Q9NZW5,Human,,
3674,Q9H6R3,Human,,
3675,P84550,Human,,
3676,Q86VS3,Human,,
3677,Q6PD74,Human,,
3678,O43586,Human,,
3679,O43868,Human,,
3680,A6NFU8,Human,,
3681,O15061,Human,,
3682,Q5W5X9,Human,,
3683,Q96JZ2,Human,,
3684,Q8WZ74,Human,,
3685,O75954,Human,,
3686,Q14687,Human,,
3687,Q3T8J9,Human,,
3688,P67936,Human,,
3689,Q9H6S3,Human,,
3690,Q8TAM1,Human,,
3691,P21579,Human,,
3692,P0C7T8,Human,,
3693,Q9NPB8,Human,,
3694,Q8NA31,Human,,
3695,Q8NC67,Human,,
3696,P16066,Human,,
3697,Q13113,Human,,
3698,Q15058,Human,,
3699,Q12891,Human,,
3700,O75896,Human,,
3701,Q9Y4B4,Human,,
3702,Q92560,Human,,
3703,Q8N114,Human,,
3704,Q8WXE1,Human,,
3705,Q6ZS17,Human,,
3706,O95848,Human,,
3707,P62249,Human,,
3708,O43854,Human,,
3709,Q8TF21,Human,,
3710,P98077,Human,,
3711,P33552,Human,,
3712,Q9Y5S8,Human,,
3713,Q86YP4,Human,,
3714,Q8TDF6,Human,,
3715,Q969K7,Human,,
3716,Q6J9G0,Human,,
3717,P35523,Human,,
3718,Q86XD5,Human,,
3719,Q9GZM7,Human,,
3720,Q6ZN18,Human,,
3721,P04066,Human,,
3722,P42345,Human,,
3723,O14543,Human,,
3724,P20337,Human,,
3725,O43847,Human,,
3726,Q5T1B0,Human,,
3727,Q8NAT2,Human,,
3728,Q9P1Z3,Human,,
3729,Q86T24,Human,,
3730,Q9H9S5,Human,,
3731,Q9UN42,Human,,
3732,Q5JRV8,Human,,
3733,Q13510,Human,,
3734,Q06210,Human,,
3735,Q32NC0,Human,,
3736,Q9Y2M2,Human,,
3737,Q6ZSS7,Human,,
3738,Q6IA86,Human,,
3739,Q9H0V1,Human,,
3740,O00458,Human,,
3741,Q5TC82,Human,,
3742,Q9UBC2,Human,,
3743,P21583,Human,,
3744,P21917,Human,,
3745,Q14117,Human,,
3746,P10912,Human,,
3747,Q53EP0,Human,,
3748,Q9UBK5,Human,,
3749,O43914,Human,,
3750,P30273,Human,,
3751,P20963,Human,,
3752,Q05513,Human,,
3753,A1X283,Human,,
3754,P57081,Human,,
3755,Q96AX9,Human,,
3756,Q8IVL6,Human,,
3757,Q9H5Q4,Human,,
3758,Q5VUJ9,Human,,
3759,Q9ULZ1,Human,,
3760,Q8WYP5,Human,,
3761,Q9HCG7,Human,,
3762,Q86VZ4,Human,,
3763,Q96LU5,Human,,
3764,Q8IVI9,Human,,
3765,A2A2Y4,Human,,
3766,Q9Y2J4,Human,,
3767,Q12952,Human,,
3768,P28328,Human,,
3769,O14980,Human,,
3770,O43933,Human,,
3771,Q5T0D9,Human,,
3772,P35367,Human,,
3773,P25021,Human,,
3774,Q06187,Human,,
3775,P01286,Human,,
3776,Q8NHZ8,Human,,
3777,Q13042,Human,,
3778,Q9NRL3,Human,,
3779,Q15758,Human,,
3780,O15273,Human,,
3781,Q13049,Human,,
3782,P50402,Human,,
3783,P12109,Human,,
3784,P12110,Human,,
3785,Q9BXM9,Human,,
3786,Q8N392,Human,,
3787,Q9BU02,Human,,
3788,P24043,Human,,
3789,Q86Z20,Human,,
3790,Q14643,Human,,
3791,Q709C8,Human,,
3792,Q14571,Human,,
3793,Q14573,Human,,
3794,Q13158,Human,,
3795,P26441,Human,,
3796,P51805,Human,,
3797,Q9NPJ4,Human,,
3798,P27695,Human,,
3799,Q13873,Human,,
3800,Q9ULD2,Human,,
3801,Q9Y4D2,Human,,
3802,P54278,Human,,
3803,Q9H8Y5,Human,,
3804,Q9NZI5,Human,,
3805,O15084,Human,,
3806,Q9P0L2,Human,,
3807,Q9BTT4,Human,,
3808,Q9Y5X0,Human,,
3809,Q5SY16,Human,,
3810,P33176,Human,,
3811,O95777,Human,,
3812,Q9H2F5,Human,,
3813,Q8N3K9,Human,,
3814,Q99698,Human,,
3815,Q14191,Human,,
3816,Q9UJV8,Human,,
3817,P04114,Human,,
3818,Q14596,Human,,
3819,O94829,Human,,
3820,Q6ZT12,Human,,
3821,Q96A25,Human,,
3822,Q86T65,Human,,
3823,P19835,Human,,
3824,Q6UUV7,Human,,
3825,Q9UGP4,Human,,
3826,P47989,Human,,
3827,Q03393,Human,,
3828,Q8NBJ5,Human,,
3829,P09417,Human,,
