Protein1_ID,Protein2_ID,IAV_Strain,IAV_Segment
Q9Y399,I6TAH8,Aichi,NP
Q96DV4,I6TAH8,Aichi,NP
Q9NUD5,I6TAH8,Aichi,NP
Q16540,I6TAH8,Aichi,NP
P08621,I6TAH8,Aichi,NP
Q9Y676,I6TAH8,Aichi,NP
O60832,I6TAH8,Aichi,NP
Q9NVP1,I6TAH8,Aichi,NP
Q9BRJ2,I6TAH8,Aichi,NP
Q9Y383,I6TAH8,Aichi,NP
Q8IXM3,I6TAH8,Aichi,NP
Q9Y2R5,I6TAH8,Aichi,NP
Q9Y2Q9,I6TAH8,Aichi,NP
P82932,I6TAH8,Aichi,NP
P82933,I6TAH8,Aichi,NP
Q7Z2W9,I6TAH8,Aichi,NP
Q9HD33,I6TAH8,Aichi,NP
Q9NYK5,I6TAH8,Aichi,NP
O75616,I6TAH8,Aichi,NP
O95232,I6TAH8,Aichi,NP
Q96KR1,I6TAH8,Aichi,NP
P52294,I6TAH8,Aichi,NP
P82673,I6TAH8,Aichi,NP
Q9Y2R9,I6TAH8,Aichi,NP
Q02880,I6TAH8,Aichi,NP
Q5T3I0,I6TAH8,Aichi,NP
Q4G0J3,I6TAH8,Aichi,NP
O00629,I6TAH8,Aichi,NP
Q8NC60,I6TAH8,Aichi,NP
Q9BYD6,I6TAH8,Aichi,NP
Q9BYD1,I6TAH8,Aichi,NP
Q6P1L8,I6TAH8,Aichi,NP
Q9BYD2,I6TAH8,Aichi,NP
Q14690,I6TAH8,Aichi,NP
P37108,I6TAH8,Aichi,NP
P82930,I6TAH8,Aichi,NP
P11388,I6TAH8,Aichi,NP
Q9BZE1,I6TAH8,Aichi,NP
P09012,I6TAH8,Aichi,NP
Q8IYB3,I6TAH8,Aichi,NP
O60783,I6TAH8,Aichi,NP
Q9BYN8,I6TAH8,Aichi,NP
Q15020,I6TAH8,Aichi,NP
O60684,I6TAH8,Aichi,NP
Q9NWU5,I6TAH8,Aichi,NP
O75127,I6TAH8,Aichi,NP
Q9H2U1,I6TAH8,Aichi,NP
Q96I59,I6TAH8,Aichi,NP
P51398,I6TAH8,Aichi,NP
Q5SSJ5,I6TAH8,Aichi,NP
P82663,I6TAH8,Aichi,NP
P82912,I6TAH8,Aichi,NP
Q02539,I6TAH8,Aichi,NP
Q9P015,I6TAH8,Aichi,NP
Q9BVP2,I6TAH8,Aichi,NP
Q8TAE8,I6TAH8,Aichi,NP
Q92900,I6TAH8,Aichi,NP
Q8WV44,I6TAH8,Aichi,NP
P82650,I6TAH8,Aichi,NP
O95793,I6TAH8,Aichi,NP
Q92665,I6TAH8,Aichi,NP
O95900,I6TAH8,Aichi,NP
P38159,I6TAH8,Aichi,NP
Q96EY7,I6TAH8,Aichi,NP
Q1KMD3,I6TAH8,Aichi,NP
Q92615,I6TAH8,Aichi,NP
P46087,I6TAH8,Aichi,NP
Q9NZB2,I6TAH8,Aichi,NP
Q9Y3B7,I6TAH8,Aichi,NP
Q96GC5,I6TAH8,Aichi,NP
Q9H9J2,I6TAH8,Aichi,NP
Q9Y2X3,I6TAH8,Aichi,NP
Q7L2J0,I6TAH8,Aichi,NP
Q9HCE1,I6TAH8,Aichi,NP
Q09161,I6TAH8,Aichi,NP
Q96RS0,I6TAH8,Aichi,NP
Q9Y3D3,I6TAH8,Aichi,NP
Q8NEC5,I6TAH8,Aichi,NP
O76021,I6TAH8,Aichi,NP
P49406,I6TAH8,Aichi,NP
O14654,C3W5S7,CA04,NS1
O00459,C3W5S7,CA04,NS1
Q5JVF3,C3W5S7,CA04,NS1
P27986,P69277,Aichi,NS1
