Protein1_ID,Protein2_ID,human_pname_raw,IAV_Strain,IAV_Segment,Score
Q5H9R7,P03431,PP6R3_HUMAN,PR8,PB1,0.707
Q96RP9,P03508,EFGM_HUMAN,PR8,NS2,0.707
Q9Y2X3,P03428,NOP58_HUMAN,PR8,PB2,0.707
P53007,P03452,TXTP_HUMAN,PR8,HA,0.703
Q8WUK0,P03433,PTPM1_HUMAN,PR8,PA,0.702
P50570,P06821,DYN2_HUMAN,PR8,M2,0.701
O75489,P03433,NDUS3_HUMAN,PR8,PA,0.697
Q13315,P03433,ATM_HUMAN,PR8,PA,0.696
Q8NHQ1,P03466,CEP70_HUMAN,PR8,NP,0.695
O00505,P03466,IMA4_HUMAN,PR8,NP,0.695
P48553,P06821,TPC10_HUMAN,PR8,M2,0.693
O43889,P03452,CREB3_HUMAN,PR8,HA,0.693
Q8WVX9,P03452,FACR1_HUMAN,PR8,HA,0.69
P04233,P03431,HG2A_HUMAN,PR8,PB1,0.689
Q12800,P03485,TFCP2_HUMAN,PR8,M1,0.687
P39019,P03496,RS19_HUMAN,PR8,NS1,0.687
P14678,P03496,RSMB_HUMAN,PR8,NS1,0.687
Q9Y305,P03433,ACOT9_HUMAN,PR8,PA,0.686
Q9H3Q1,P03433,BORG4_HUMAN,PR8,PA,0.683
Q8IX01,P03428,SUGP2_HUMAN,PR8,PB2,0.683
Q9H898,P03485,ZMAT4_HUMAN,PR8,M1,0.682
Q12800,P06821,TFCP2_HUMAN,PR8,M2,0.681
O75569,P03485,PRKRA_HUMAN,PR8,M1,0.68
Q13126,P03466,MTAP_HUMAN,PR8,NP,0.678
Q6IB77,P03433,GLYAT_HUMAN,PR8,PA,0.674
Q96B26,P03485,EXOS8_HUMAN,PR8,M1,0.674
Q9NZF1,P03431,PLAC8_HUMAN,PR8,PB1,0.674
Q9UKT9,P03431,IKZF3_HUMAN,PR8,PB1,0.672
Q99653,P03452,CHP1_HUMAN,PR8,HA,0.669
Q96EC8,P03433,YIPF6_HUMAN,PR8,PA,0.668
Q6IBW4,P03433,CNDH2_HUMAN,PR8,PA,0.667
Q8IUR0,P06821,TPPC5_HUMAN,PR8,M2,0.666
Q13838,P03466,DX39B_HUMAN,PR8,NP,0.663
Q9Y6X0,P06821,SETBP_HUMAN,PR8,M2,0.663
Q96Q05,P06821,TPPC9_HUMAN,PR8,M2,0.66
Q9Y5V3,P03496,MAGD1_HUMAN,PR8,NS1,0.658
Q9P035,P03452,HACD3_HUMAN,PR8,HA,0.657
Q12983,P03466,BNIP3_HUMAN,PR8,NP,0.654
Q9H892,P03431,TTC12_HUMAN,PR8,PB1,0.653
Q13077,P03466,TRAF1_HUMAN,PR8,NP,0.653
Q96D05,P03433,F241B_HUMAN,PR8,PA,0.651
Q8N661,P03433,TM86B_HUMAN,PR8,PA,0.647
Q96CS3,P03468,FAF2_HUMAN,PR8,NA,0.647
P50222,P03468,MEOX2_HUMAN,PR8,NA,0.639
Q02539,P03496,H11_HUMAN,PR8,NS1,0.636
P16615,P03496,AT2A2_HUMAN,PR8,NS1,0.626
P27824,P03496,CALX_HUMAN,PR8,NS1,0.611
P61247,P03496,RS3A_HUMAN,PR8,NS1,0.599
P52294,I6TAH8,IMA5_HUMAN,Aichi,NP,0.591
O95816,P03496,BAG2_HUMAN,PR8,NS1,0.587
Q96PU8,P03496,QKI_HUMAN,PR8,NS1,0.583
Q9P2K5,P03496,MYEF2_HUMAN,PR8,NS1,0.573
Q9Y2R9,P03496,RT07_HUMAN,PR8,NS1,0.568
Q8N6Y0,P03428,USBP1_HUMAN,PR8,PB2,0.561
O95816,P03428,BAG2_HUMAN,PR8,PB2,0.558
Q6NZI2,P03496,CAVN1_HUMAN,PR8,NS1,0.554
P52298,P03496,NCBP2_HUMAN,PR8,NS1,0.553
O95573,P03496,ACSL3_HUMAN,PR8,NS1,0.547
Q9UJC3,P03508,HOOK1_HUMAN,PR8,NS2,0.543
P06454,P03496,PTMA_HUMAN,PR8,NS1,0.535
P52292,I6TAH8,IMA1_HUMAN,Aichi,NP,0.532
Q1KMD3,P03496,HNRL2_HUMAN,PR8,NS1,0.532
P08621,P03496,RU17_HUMAN,PR8,NS1,0.528
Q9UBS4,P03496,DJB11_HUMAN,PR8,NS1,0.528
P17987,P03431,TCPA_HUMAN,PR8,PB1,0.527
P15880,P03496,RS2_HUMAN,PR8,NS1,0.527
P18583,P03428,SON_HUMAN,PR8,PB2,0.523
Q02978,P03496,M2OM_HUMAN,PR8,NS1,0.521
P46781,P03496,RS9_HUMAN,PR8,NS1,0.519
Q3ZCQ8,P03496,TIM50_HUMAN,PR8,NS1,0.516
O75190,P03428,DNJB6_HUMAN,PR8,PB2,0.515
Q8N163,P03428,CCAR2_HUMAN,PR8,PB2,0.515
P0C7W6,P03428,CC172_HUMAN,PR8,PB2,0.509
Q9Y2X3,P03496,NOP58_HUMAN,PR8,NS1,0.507
Q7Z6Z7,P03496,HUWE1_HUMAN,PR8,NS1,0.507
Q14764,P03428,MVP_HUMAN,PR8,PB2,0.499
O60684,I6TAH8,IMA7_HUMAN,Aichi,NP,0.497
O14503,P03428,BHE40_HUMAN,PR8,PB2,0.497
O95816,P03431,BAG2_HUMAN,PR8,PB1,0.496
Q7Z6Z7,P03431,HUWE1_HUMAN,PR8,PB1,0.489
Q8N163,P03508,CCAR2_HUMAN,PR8,NS2,0.487
O95071,P03431,UBR5_HUMAN,PR8,PB1,0.487
Q9Y5V3,P03466,MAGD1_HUMAN,PR8,NP,0.483
Q96AT1,P03496,K1143_HUMAN,PR8,NS1,0.481
Q8IXM3,P03496,RM41_HUMAN,PR8,NS1,0.481
Q53GQ0,P03496,DHB12_HUMAN,PR8,NS1,0.472
Q9Y5V3,P03431,MAGD1_HUMAN,PR8,PB1,0.47
P18077,P03496,RL35A_HUMAN,PR8,NS1,0.469
Q14204,P03496,DYHC1_HUMAN,PR8,NS1,0.469
Q96PK6,P03496,RBM14_HUMAN,PR8,NS1,0.465
P78347,P03431,GTF2I_HUMAN,PR8,PB1,0.461
O95816,P03508,BAG2_HUMAN,PR8,NS2,0.457
Q9H898,P03496,ZMAT4_HUMAN,PR8,NS1,0.453
Q15365,I6TAH8,PCBP1_HUMAN,Aichi,NP,0.453
P46783,P03496,RS10_HUMAN,PR8,NS1,0.452
Q14318,P03431,FKBP8_HUMAN,PR8,PB1,0.451
Q9ULX6,P03496,AKP8L_HUMAN,PR8,NS1,0.451
Q14204,P03508,DYHC1_HUMAN,PR8,NS2,0.449
O15027,P03428,SC16A_HUMAN,PR8,PB2,0.449
P34932,P03428,HSP74_HUMAN,PR8,PB2,0.447
Q8IY17,P03496,PLPL6_HUMAN,PR8,NS1,0.447
Q9BYN8,P03496,RT26_HUMAN,PR8,NS1,0.445
P68431,P03431,H31_HUMAN,PR8,PB1,0.442
Q9UNE7,P03431,CHIP_HUMAN,PR8,PB1,0.441
P82933,P03496,RT09_HUMAN,PR8,NS1,0.441
P82932,P03496,RT06_HUMAN,PR8,NS1,0.439
Q9BUJ2,P03431,HNRL1_HUMAN,PR8,PB1,0.437
O75381,P03508,PEX14_HUMAN,PR8,NS2,0.432
Q15046,P03496,SYK_HUMAN,PR8,NS1,0.431
Q9NXH8,P03496,TOR4A_HUMAN,PR8,NS1,0.429
P46779,P03496,RL28_HUMAN,PR8,NS1,0.429
P51153,P03496,RAB13_HUMAN,PR8,NS1,0.428
